,Np,Nt,Kp,Kt,A,lp,Rg,E2E,zd,Angle,lb,lt,sd_lp,sd_Rg,sd_zd,sd_E2E,sd_dot
66,17.0,8.0,2.0,0.25,90.0,1.9686592631255766,2.802560861178903,7.046929194808679,3.8750531179640717,1.723322828682851,0.9701563661028821,0.9710123497978392,0.021410061768301153,0.22094388873410162,1.1984622609859037,2.2729792868427383,0.640623275956269
67,17.0,8.0,4.0,0.25,90.0,3.3671932299281973,3.2702617924321506,8.622142007310838,4.0044999241516965,1.809431601926925,0.9700204518977346,0.9714498067242346,0.03512334796119023,0.26424681996204524,1.2080885458551098,2.6552679937206656,0.6426873597753272
68,17.0,8.0,8.0,0.25,90.0,6.775903421382414,3.8542886752647703,11.109165337291095,3.886470273453094,2.1168382594667308,0.9710097542680075,0.9713672576691984,0.036310099402309844,0.15168770360803505,1.2408845886377886,2.1830254991442066,0.5266826706426586
69,17.0,8.0,16.0,0.25,90.0,13.839486523109272,4.264940074893881,13.031629872941231,3.750591988023952,2.3861009018727057,0.9708737450535126,0.9700939738820633,0.10295236547788128,0.06150540663750084,1.1655848630249563,1.4489890216665076,0.3934110761338426
70,17.0,8.0,32.0,0.25,90.0,31.735588046754224,4.52258844794356,14.348227307719338,3.636369818363273,2.6415448872834375,0.9705537815298733,0.9712501818427824,0.04962517593717378,0.015112348050460168,1.1504640076944816,0.6952573668349794,0.2525908205589938
71,17.0,8.0,64.0,0.25,90.0,60.84570944203148,4.628750023985139,14.886477876837029,3.539733784431138,2.775080931538151,0.9702668092225035,0.9725190362297739,0.06862792719961427,0.0064472985927649185,1.1899419547740462,0.42199634476273257,0.19322784166328136
72,17.0,8.0,0.25,0.25,80.0,1.1138439534454494,2.3938390614345875,5.901615366424929,4.297105020558883,1.735203032391419,0.970985942479424,0.9716101471374103,0.051478807215137416,0.14475821246881984,1.0343922244636918,1.830075282748464,0.6157317350014612
73,17.0,8.0,0.5,0.25,80.0,1.2188996732299062,2.4192436254130265,5.919247065794333,4.331985810379242,1.6726557390763679,0.9711285720123913,0.9716124033996121,0.036466989620875585,0.15509373660860196,1.0839140088088417,1.9118693617338027,0.6143323223123249
74,17.0,8.0,1.0,0.25,80.0,1.417507918725854,2.521908564488141,6.192690204396922,4.3249497984031935,1.6541574929854976,0.970326505006102,0.9721354208017732,0.034476625912073025,0.1628178680521676,1.0758958651491803,1.9552642533697844,0.613909344066526
75,17.0,8.0,2.0,0.25,80.0,1.8841055015096375,2.7526782588761747,6.93961701749926,4.331642956087824,1.7182896763962214,0.9706675806826477,0.9708741954700836,0.010732709775603125,0.2347530550068259,1.0564186564152311,2.2632016638372927,0.6145908437014663
76,17.0,8.0,4.0,0.25,80.0,3.233098621029934,3.2394453244817782,8.475298401239996,4.390303067864271,1.7931788263347257,0.9709304661371538,0.9705620700149563,0.04359703580503583,0.24328965825492987,1.0413459471693005,2.6171647069067414,0.6352114987462658
